0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
-27.0,-62.0,-65.0,-55.0,-60.0,-60.0,-61.0,-62.0,-63.0,-65.0,-59.0,-73.0,-59.0,-71.0,-77.0,-71.0,-70.0
-27.0,-53.0,-52.0,-59.0,-61.0,-60.0,-61.0,-62.0,-58.0,-65.0,-59.0,-74.0,-59.0,-71.0,-68.0,-73.0,-70.0
-28.0,-62.0,-52.0,-59.0,-56.0,-66.0,-60.0,-63.0,-58.0,-63.0,-58.0,-83.0,-61.0,-69.0,-68.0,-73.0,-70.0
-27.0,-53.0,-52.0,-55.0,-61.0,-60.0,-65.0,-65.0,-59.0,-65.0,-58.0,-74.0,-59.0,-76.0,-82.0,-73.0,-70.0
-27.0,-62.0,-64.0,-60.0,-61.0,-60.0,-60.0,-68.0,-59.0,-63.0,-59.0,-75.0,-57.0,-76.0,-88.0,-73.0,-70.0
-27.0,-62.0,-52.0,-55.0,-61.0,-61.0,-60.0,-63.0,-64.0,-65.0,-58.0,-83.0,-59.0,-71.0,-84.0,-73.0,-70.0
-27.0,-62.0,-65.0,-56.0,-61.0,-60.0,-61.0,-68.0,-63.0,-63.0,-60.0,-71.0,-59.0,-77.0,-82.0,-71.0,-69.0
-27.0,-61.0,-66.0,-55.0,-57.0,-59.0,-61.0,-64.0,-63.0,-69.0,-60.0,-73.0,-57.0,-70.0,-71.0,-72.0,-68.0
-27.0,-53.0,-64.0,-60.0,-63.0,-59.0,-60.0,-63.0,-59.0,-70.0,-58.0,-81.0,-57.0,-77.0,-80.0,-71.0,-69.0
-27.0,-52.0,-52.0,-55.0,-57.0,-59.0,-60.0,-65.0,-63.0,-66.0,-58.0,-70.0,-59.0,-70.0,-82.0,-71.0,-69.0
-27.0,-61.0,-52.0,-56.0,-62.0,-60.0,-60.0,-66.0,-59.0,-63.0,-58.0,-70.0,-58.0,-70.0,-80.0,-76.0,-69.0
-27.0,-62.0,-63.0,-55.0,-62.0,-59.0,-60.0,-64.0,-63.0,-66.0,-58.0,-69.0,-57.0,-70.0,-81.0,-72.0,-69.0
-28.0,-61.0,-75.0,-57.0,-56.0,-60.0,-60.0,-66.0,-64.0,-66.0,-60.0,-76.0,-57.0,-71.0,-71.0,-72.0,-70.0
-28.0,-62.0,-53.0,-57.0,-57.0,-66.0,-60.0,-64.0,-63.0,-66.0,-58.0,-68.0,-59.0,-86.0,-79.0,-75.0,-69.0
-27.0,-62.0,-64.0,-57.0,-57.0,-60.0,-60.0,-65.0,-63.0,-69.0,-60.0,-69.0,-59.0,-67.0,-78.0,-73.0,-70.0
-27.0,-62.0,-75.0,-54.0,-62.0,-60.0,-56.0,-65.0,-63.0,-70.0,-60.0,-69.0,-57.0,-68.0,-75.0,-72.0,-70.0
-27.0,-62.0,-76.0,-54.0,-62.0,-59.0,-56.0,-65.0,-63.0,-66.0,-61.0,-76.0,-62.0,-78.0,-69.0,-72.0,-70.0
-27.0,-62.0,-68.0,-54.0,-57.0,-59.0,-56.0,-64.0,-59.0,-69.0,-61.0,-76.0,-59.0,-75.0,-75.0,-73.0,-67.0
-27.0,-62.0,-67.0,-58.0,-57.0,-61.0,-61.0,-64.0,-59.0,-65.0,-61.0,-69.0,-58.0,-76.0,-69.0,-74.0,-69.0
-28.0,-53.0,-79.0,-55.0,-63.0,-61.0,-60.0,-69.0,-58.0,-65.0,-59.0,-82.0,-59.0,-68.0,-69.0,-73.0,-70.0
