0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
-31.0,-42.0,-53.0,-51.0,-58.0,-51.0,-60.0,-58.0,-60.0,-55.0,-49.0,-56.0,-56.0,-65.0,-76.0,-67.0,-70.0
-28.0,-42.0,-55.0,-51.0,-53.0,-67.0,-49.0,-51.0,-65.0,-54.0,-49.0,-55.0,-56.0,-65.0,-71.0,-67.0,-77.0
-27.0,-57.0,-55.0,-51.0,-53.0,-54.0,-57.0,-55.0,-65.0,-56.0,-52.0,-53.0,-55.0,-72.0,-61.0,-66.0,-76.0
-28.0,-57.0,-47.0,-51.0,-58.0,-55.0,-57.0,-54.0,-53.0,-56.0,-52.0,-55.0,-52.0,-71.0,-71.0,-67.0,-77.0
-28.0,-57.0,-48.0,-50.0,-53.0,-51.0,-49.0,-55.0,-52.0,-54.0,-49.0,-54.0,-56.0,-63.0,-68.0,-76.0,-85.0
-28.0,-42.0,-55.0,-51.0,-53.0,-56.0,-60.0,-51.0,-65.0,-54.0,-49.0,-54.0,-56.0,-70.0,-76.0,-79.0,-70.0
-31.0,-57.0,-57.0,-51.0,-58.0,-55.0,-49.0,-54.0,-65.0,-56.0,-57.0,-56.0,-52.0,-71.0,-61.0,-68.0,-70.0
-28.0,-57.0,-48.0,-44.0,-58.0,-56.0,-58.0,-51.0,-52.0,-54.0,-57.0,-54.0,-56.0,-72.0,-73.0,-75.0,-69.0
-28.0,-57.0,-48.0,-44.0,-53.0,-62.0,-60.0,-56.0,-52.0,-56.0,-52.0,-54.0,-56.0,-69.0,-73.0,-76.0,-69.0
-31.0,-42.0,-61.0,-48.0,-59.0,-56.0,-58.0,-55.0,-52.0,-55.0,-49.0,-54.0,-56.0,-64.0,-60.0,-75.0,-82.0
-31.0,-42.0,-51.0,-54.0,-58.0,-51.0,-57.0,-51.0,-65.0,-54.0,-49.0,-54.0,-52.0,-66.0,-72.0,-75.0,-75.0
-28.0,-42.0,-50.0,-54.0,-53.0,-56.0,-58.0,-54.0,-52.0,-56.0,-50.0,-56.0,-56.0,-65.0,-70.0,-77.0,-68.0
-27.0,-42.0,-50.0,-51.0,-52.0,-56.0,-60.0,-51.0,-65.0,-54.0,-49.0,-54.0,-56.0,-62.0,-69.0,-66.0,-75.0
-31.0,-42.0,-49.0,-44.0,-58.0,-55.0,-61.0,-58.0,-65.0,-54.0,-50.0,-54.0,-56.0,-63.0,-68.0,-67.0,-68.0
-31.0,-56.0,-49.0,-50.0,-57.0,-51.0,-61.0,-55.0,-52.0,-56.0,-50.0,-56.0,-56.0,-62.0,-69.0,-67.0,-71.0
-28.0,-57.0,-49.0,-45.0,-60.0,-63.0,-50.0,-55.0,-61.0,-54.0,-57.0,-54.0,-56.0,-62.0,-70.0,-68.0,-74.0
-27.0,-57.0,-49.0,-45.0,-53.0,-52.0,-49.0,-57.0,-52.0,-56.0,-54.0,-54.0,-56.0,-64.0,-62.0,-67.0,-70.0
-27.0,-57.0,-56.0,-45.0,-60.0,-65.0,-58.0,-59.0,-52.0,-55.0,-53.0,-54.0,-56.0,-71.0,-70.0,-67.0,-76.0
-27.0,-42.0,-49.0,-48.0,-53.0,-51.0,-49.0,-51.0,-65.0,-55.0,-57.0,-56.0,-56.0,-63.0,-70.0,-68.0,-79.0
-27.0,-42.0,-49.0,-49.0,-53.0,-56.0,-57.0,-53.0,-61.0,-54.0,-53.0,-54.0,-56.0,-72.0,-68.0,-65.0,-81.0
-27.0,-58.0,-49.0,-50.0,-60.0,-56.0,-49.0,-58.0,-52.0,-54.0,-50.0,-54.0,-56.0,-66.0,-68.0,-66.0,-67.0
-28.0,-42.0,-49.0,-49.0,-60.0,-64.0,-60.0,-56.0,-61.0,-56.0,-54.0,-54.0,-56.0,-62.0,-67.0,-66.0,-73.0
-28.0,-42.0,-49.0,-45.0,-53.0,-66.0,-57.0,-57.0,-61.0,-56.0,-54.0,-54.0,-56.0,-63.0,-72.0,-65.0,-81.0
-31.0,-42.0,-49.0,-45.0,-53.0,-66.0,-57.0,-54.0,-52.0,-56.0,-53.0,-54.0,-52.0,-70.0,-67.0,-66.0,-70.0
-31.0,-58.0,-60.0,-48.0,-53.0,-51.0,-58.0,-57.0,-53.0,-54.0,-53.0,-54.0,-52.0,-65.0,-65.0,-69.0,-70.0
-31.0,-57.0,-61.0,-50.0,-58.0,-51.0,-57.0,-54.0,-64.0,-55.0,-53.0,-56.0,-52.0,-64.0,-62.0,-67.0,-71.0
-28.0,-42.0,-48.0,-50.0,-53.0,-65.0,-61.0,-58.0,-63.0,-55.0,-57.0,-54.0,-56.0,-61.0,-68.0,-68.0,-77.0
-28.0,-41.0,-49.0,-50.0,-53.0,-51.0,-61.0,-54.0,-52.0,-54.0,-53.0,-54.0,-56.0,-68.0,-67.0,-66.0,-79.0
-28.0,-57.0,-49.0,-45.0,-53.0,-55.0,-50.0,-54.0,-59.0,-54.0,-53.0,-54.0,-55.0,-64.0,-64.0,-69.0,-79.0
-31.0,-43.0,-62.0,-44.0,-59.0,-51.0,-50.0,-51.0,-59.0,-54.0,-57.0,-56.0,-55.0,-63.0,-65.0,-67.0,-80.0
-28.0,-42.0,-49.0,-44.0,-53.0,-61.0,-57.0,-51.0,-59.0,-56.0,-50.0,-54.0,-55.0,-63.0,-64.0,-78.0,-68.0
-28.0,-58.0,-57.0,-48.0,-58.0,-61.0,-50.0,-54.0,-65.0,-57.0,-53.0,-56.0,-52.0,-67.0,-70.0,-73.0,-74.0
-28.0,-42.0,-56.0,-48.0,-59.0,-54.0,-60.0,-57.0,-59.0,-57.0,-50.0,-56.0,-56.0,-65.0,-67.0,-69.0,-74.0
-31.0,-42.0,-53.0,-50.0,-59.0,-54.0,-57.0,-59.0,-59.0,-56.0,-57.0,-55.0,-52.0,-63.0,-68.0,-68.0,-69.0
