0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
,,,,,,,,,,,,,-70.0,-67.0,-72.0,-78.0
,,,,,,,,,,,,,-76.0,-75.0,-66.0,-83.0
,,,,,,,,,,,,,-78.0,-77.0,-66.0,-80.0
,,,,,,,,,,,,,-77.0,-73.0,-66.0,-80.0
,,,,,,,,,,,,,-68.0,-74.0,-66.0,-88.0
,,,,,,,,,,,,,-79.0,-67.0,-71.0,-81.0
,,,,,,,,,,,,,-81.0,-74.0,-65.0,-85.0
,,,,,,,,,,,,,-70.0,-67.0,-66.0,-85.0
,,,,,,,,,,,,,-72.0,-73.0,-76.0,-78.0
,,,,,,,,,,,,,-71.0,-72.0,-66.0,-81.0
,,,,,,,,,,,,,-79.0,-75.0,-77.0,-80.0
,,,,,,,,,,,,,-71.0,-72.0,-69.0,-79.0
,,,,,,,,,,,,,-70.0,-74.0,-71.0,-74.0
,,,,,,,,,,,,,-67.0,-67.0,-70.0,-83.0
,,,,,,,,,,,,,-69.0,-74.0,-75.0,-85.0
,,,,,,,,,,,,,-68.0,-67.0,-75.0,-74.0
,,,,,,,,,,,,,-77.0,-72.0,-76.0,-82.0
,,,,,,,,,,,,,-73.0,-74.0,-75.0,-83.0
,,,,,,,,,,,,,-66.0,-75.0,-73.0,-82.0
,,,,,,,,,,,,,-69.0,-77.0,-80.0,-75.0
,,,,,,,,,,,,,-72.0,-78.0,-87.0,-85.0
,,,,,,,,,,,,,-74.0,-69.0,-84.0,-75.0
,,,,,,,,,,,,,-68.0,-68.0,-66.0,-75.0
,,,,,,,,,,,,,-74.0,-69.0,-76.0,-79.0
,,,,,,,,,,,,,-77.0,-72.0,-65.0,-83.0
,,,,,,,,,,,,,-66.0,-69.0,-63.0,-79.0
,,,,,,,,,,,,,-81.0,-71.0,-74.0,-78.0
,,,,,,,,,,,,,-73.0,-67.0,-77.0,-80.0
,,,,,,,,,,,,,-71.0,-66.0,-77.0,-85.0
,,,,,,,,,,,,,-72.0,-68.0,-64.0,-79.0
,,,,,,,,,,,,,-71.0,-85.0,-78.0,-79.0
,,,,,,,,,,,,,-70.0,,-64.0,-83.0
,,,,,,,,,,,,,-71.0,,-74.0,-80.0
,,,,,,,,,,,,,-71.0,,-78.0,-81.0
,,,,,,,,,,,,,,,-84.0,-81.0
,,,,,,,,,,,,,,,-67.0,-88.0
,,,,,,,,,,,,,,,-76.0,-85.0
,,,,,,,,,,,,,,,-64.0,
,,,,,,,,,,,,,,,-67.0,
,,,,,,,,,,,,,,,-82.0,
,,,,,,,,,,,,,,,-77.0,
,,,,,,,,,,,,,,,-80.0,
,,,,,,,,,,,,,,,-65.0,
,,,,,,,,,,,,,,,-83.0,
,,,,,,,,,,,,,,,-83.0,
,,,,,,,,,,,,,,,-80.0,
